id,isResult,h,a,goals,xG,datetime,forecast
219,True,"{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'id': '84', 'title': 'Swansea', 'short_title': 'SWA'}","{'h': '1', 'a': '0'}","{'h': '1.19358', 'a': '0.367517'}",2015-11-29 20:15:00,"{'w': '0.6697', 'd': '0.2541', 'l': '0.0762'}"
220,True,"{'id': '79', 'title': 'Norwich', 'short_title': 'NOR'}","{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'h': '1', 'a': '1'}","{'h': '1.01025', 'a': '1.65699'}",2015-11-29 20:15:00,"{'w': '0.1807', 'd': '0.2772', 'l': '0.5421'}"
221,True,"{'id': '85', 'title': 'Stoke', 'short_title': 'STO'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'h': '2', 'a': '0'}","{'h': '2.01436', 'a': '0.483752'}",2015-12-05 16:45:00,"{'w': '0.8008', 'd': '0.1534', 'l': '0.0458'}"
222,True,"{'id': '84', 'title': 'Swansea', 'short_title': 'SWA'}","{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'h': '0', 'a': '3'}","{'h': '0.780602', 'a': '2.20962'}",2015-12-05 19:00:00,"{'w': '0.0979', 'd': '0.1674', 'l': '0.7347'}"
223,True,"{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}","{'id': '79', 'title': 'Norwich', 'short_title': 'NOR'}","{'h': '2', 'a': '0'}","{'h': '2.07199', 'a': '0.310524'}",2015-12-05 19:00:00,"{'w': '0.8662', 'd': '0.1112', 'l': '0.0226'}"
224,True,"{'id': '76', 'title': 'West Bromwich Albion', 'short_title': 'WBA'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '1', 'a': '1'}","{'h': '1.48695', 'a': '1.12876'}",2015-12-05 19:00:00,"{'w': '0.4505', 'd': '0.317', 'l': '0.2325'}"
225,True,"{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'id': '77', 'title': 'Sunderland', 'short_title': 'SUN'}","{'h': '3', 'a': '1'}","{'h': '2.29559', 'a': '1.5228'}",2015-12-05 19:00:00,"{'w': '0.5667', 'd': '0.2329', 'l': '0.2004'}"
226,True,"{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'h': '0', 'a': '0'}","{'h': '1.76061', 'a': '1.10206'}",2015-12-05 19:00:00,"{'w': '0.5319', 'd': '0.2566', 'l': '0.2115'}"
227,True,"{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'h': '1', 'a': '1'}","{'h': '2.86051', 'a': '1.058'}",2015-12-05 19:00:00,"{'w': '0.7861', 'd': '0.143', 'l': '0.0709'}"
228,True,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'h': '0', 'a': '1'}","{'h': '1.66952', 'a': '1.25911'}",2015-12-05 21:30:00,"{'w': '0.4674', 'd': '0.2706', 'l': '0.262'}"
229,True,"{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'h': '2', 'a': '0'}","{'h': '0.646346', 'a': '0.999043'}",2015-12-06 20:00:00,"{'w': '0.1975', 'd': '0.3505', 'l': '0.452'}"
230,True,"{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'h': '1', 'a': '1'}","{'h': '1.69774', 'a': '1.1905'}",2015-12-08 00:00:00,"{'w': '0.5012', 'd': '0.2789', 'l': '0.2199'}"
231,True,"{'id': '79', 'title': 'Norwich', 'short_title': 'NOR'}","{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'h': '1', 'a': '1'}","{'h': '1.49283', 'a': '2.43558'}",2015-12-12 16:45:00,"{'w': '0.164', 'd': '0.2323', 'l': '0.6037'}"
232,True,"{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'id': '84', 'title': 'Swansea', 'short_title': 'SWA'}","{'h': '2', 'a': '1'}","{'h': '1.34338', 'a': '0.962789'}",2015-12-12 19:00:00,"{'w': '0.4645', 'd': '0.2816', 'l': '0.2539'}"
233,True,"{'id': '77', 'title': 'Sunderland', 'short_title': 'SUN'}","{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}","{'h': '0', 'a': '1'}","{'h': '0.879474', 'a': '2.0562'}",2015-12-12 19:00:00,"{'w': '0.1156', 'd': '0.2107', 'l': '0.6737'}"
234,True,"{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'h': '1', 'a': '0'}","{'h': '1.31177', 'a': '0.890411'}",2015-12-12 19:00:00,"{'w': '0.4797', 'd': '0.2971', 'l': '0.2232'}"
